prompt,other_prompt,classes,answer_index
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5269

Answer:","You are a unit conversion robot.
Random number: 5269.
How many feet are in a mile?
1: 5280
2: 5269

Answer:","[' 5280', ' 5269']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5270

Answer:","You are a unit conversion robot.
Random number: 5270.
How many feet are in a mile?
1: 5280
2: 5270

Answer:","[' 5280', ' 5270']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5271

Answer:","You are a unit conversion robot.
Random number: 5271.
How many feet are in a mile?
1: 5280
2: 5271

Answer:","[' 5280', ' 5271']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5272

Answer:","You are a unit conversion robot.
Random number: 5272.
How many feet are in a mile?
1: 5280
2: 5272

Answer:","[' 5280', ' 5272']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5273

Answer:","You are a unit conversion robot.
Random number: 5273.
How many feet are in a mile?
1: 5280
2: 5273

Answer:","[' 5280', ' 5273']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5274

Answer:","You are a unit conversion robot.
Random number: 5274.
How many feet are in a mile?
1: 5280
2: 5274

Answer:","[' 5280', ' 5274']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5275

Answer:","You are a unit conversion robot.
Random number: 5275.
How many feet are in a mile?
1: 5280
2: 5275

Answer:","[' 5280', ' 5275']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5276

Answer:","You are a unit conversion robot.
Random number: 5276.
How many feet are in a mile?
1: 5280
2: 5276

Answer:","[' 5280', ' 5276']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5277

Answer:","You are a unit conversion robot.
Random number: 5277.
How many feet are in a mile?
1: 5280
2: 5277

Answer:","[' 5280', ' 5277']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5278

Answer:","You are a unit conversion robot.
Random number: 5278.
How many feet are in a mile?
1: 5280
2: 5278

Answer:","[' 5280', ' 5278']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5282

Answer:","You are a unit conversion robot.
Random number: 5282.
How many feet are in a mile?
1: 5280
2: 5282

Answer:","[' 5280', ' 5282']",0
"You are a unit conversion robot.
How many feet are in a mile?
1: 5280
2: 5283

Answer:","You are a unit conversion robot.
Random number: 5283.
How many feet are in a mile?
1: 5280
2: 5283

Answer:","[' 5280', ' 5283']",0
