prompt,other_prompt,classes,answer_index
"Question: Which is more likely?
1: Christine is a bank teller
2: Christine is a bank teller and is active in the feminist movement
Answer:","Question: 
    Christine is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
Which is more likely?
1: Christine is a bank teller
2: Christine is a bank teller and is active in the feminist movement
Answer:","[' Christine is a bank teller', ' Christine is a bank teller and is active in the feminist movement']",0
"Question: Which is more likely?
1: Megan is a bank teller and is active in the feminist movement
2: Megan is a bank teller
Answer:","Question: 
    Megan is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Megan is a bank teller and is active in the feminist movement
2: Megan is a bank teller
Answer:","[' Megan is a bank teller and is active in the feminist movement', ' Megan is a bank teller']",1
"Question: Which is more likely?
1: Sean is a librarian who plays in a rock band
2: Sean is a librarian
Answer:","Question: 
        Sean is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Sean is a librarian who plays in a rock band
2: Sean is a librarian
Answer:","[' Sean is a librarian who plays in a rock band', ' Sean is a librarian']",1
"Question: Which is more likely?
1: Jesse is a librarian who plays in a rock band
2: Jesse is a librarian
Answer:","Question: 
        Jesse is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Jesse is a librarian who plays in a rock band
2: Jesse is a librarian
Answer:","[' Jesse is a librarian who plays in a rock band', ' Jesse is a librarian']",1
"Question: Which is more likely?
1: Shirley works on an oil rig
2: Shirley works on an oil rig and is active in the environmental movement
Answer:","Question: 
            Shirley is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
Which is more likely?
1: Shirley works on an oil rig
2: Shirley works on an oil rig and is active in the environmental movement
Answer:","[' Shirley works on an oil rig', ' Shirley works on an oil rig and is active in the environmental movement']",0
"Question: Which is more likely?
1: Ruth works on an oil rig and is active in the environmental movement
2: Ruth works on an oil rig
Answer:","Question: 
            Ruth is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Ruth works on an oil rig and is active in the environmental movement
2: Ruth works on an oil rig
Answer:","[' Ruth works on an oil rig and is active in the environmental movement', ' Ruth works on an oil rig']",1
"Question: Which is more likely?
1: Susan works on an oil rig
2: Susan works on an oil rig and is active in the environmental movement
Answer:","Question: 
            Susan is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
Which is more likely?
1: Susan works on an oil rig
2: Susan works on an oil rig and is active in the environmental movement
Answer:","[' Susan works on an oil rig', ' Susan works on an oil rig and is active in the environmental movement']",0
"Question: Which is more likely?
1: David is a librarian
2: David is a librarian who plays in a rock band
Answer:","Question: 
        David is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
Which is more likely?
1: David is a librarian
2: David is a librarian who plays in a rock band
Answer:","[' David is a librarian', ' David is a librarian who plays in a rock band']",0
"Question: Which is more likely?
1: Teresa is a bank teller and is active in the feminist movement
2: Teresa is a bank teller
Answer:","Question: 
    Teresa is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Teresa is a bank teller and is active in the feminist movement
2: Teresa is a bank teller
Answer:","[' Teresa is a bank teller and is active in the feminist movement', ' Teresa is a bank teller']",1
"Question: Which is more likely?
1: Ruth is a bank teller
2: Ruth is a bank teller and is active in the feminist movement
Answer:","Question: 
    Ruth is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
Which is more likely?
1: Ruth is a bank teller
2: Ruth is a bank teller and is active in the feminist movement
Answer:","[' Ruth is a bank teller', ' Ruth is a bank teller and is active in the feminist movement']",0
"Question: Which is more likely?
1: Anthony is an accountant who plays jazz for a hobby
2: Anthony plays jazz for a hobby
Answer:","Question: 
    Anthony is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Anthony is an accountant who plays jazz for a hobby
2: Anthony plays jazz for a hobby
Answer:","[' Anthony is an accountant who plays jazz for a hobby', ' Anthony plays jazz for a hobby']",1
"Question: Which is more likely?
1: Jacob is an accountant who plays jazz for a hobby
2: Jacob plays jazz for a hobby
Answer:","Question: 
    Jacob is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jacob is an accountant who plays jazz for a hobby
2: Jacob plays jazz for a hobby
Answer:","[' Jacob is an accountant who plays jazz for a hobby', ' Jacob plays jazz for a hobby']",1
"Question: Which is more likely?
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","Question: 
    James is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","[' James is an accountant who plays jazz for a hobby', ' James plays jazz for a hobby']",1
"Question: Which is more likely?
1: Alan is a librarian who plays in a rock band
2: Alan is a librarian
Answer:","Question: 
        Alan is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Alan is a librarian who plays in a rock band
2: Alan is a librarian
Answer:","[' Alan is a librarian who plays in a rock band', ' Alan is a librarian']",1
"Question: Which is more likely?
1: Brittany is a bank teller and is active in the feminist movement
2: Brittany is a bank teller
Answer:","Question: 
    Brittany is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Brittany is a bank teller and is active in the feminist movement
2: Brittany is a bank teller
Answer:","[' Brittany is a bank teller and is active in the feminist movement', ' Brittany is a bank teller']",1
"Question: Which is more likely?
1: Sandra works on an oil rig
2: Sandra works on an oil rig and is active in the environmental movement
Answer:","Question: 
            Sandra is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
Which is more likely?
1: Sandra works on an oil rig
2: Sandra works on an oil rig and is active in the environmental movement
Answer:","[' Sandra works on an oil rig', ' Sandra works on an oil rig and is active in the environmental movement']",0
"Question: Which is more likely?
1: Kenneth is a librarian who plays in a rock band
2: Kenneth is a librarian
Answer:","Question: 
        Kenneth is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Kenneth is a librarian who plays in a rock band
2: Kenneth is a librarian
Answer:","[' Kenneth is a librarian who plays in a rock band', ' Kenneth is a librarian']",1
"Question: Which is more likely?
1: Austin plays jazz for a hobby
2: Austin is an accountant who plays jazz for a hobby
Answer:","Question: 
    Austin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Austin plays jazz for a hobby
2: Austin is an accountant who plays jazz for a hobby
Answer:","[' Austin plays jazz for a hobby', ' Austin is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Anna works on an oil rig and is active in the environmental movement
2: Anna works on an oil rig
Answer:","Question: 
            Anna is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Anna works on an oil rig and is active in the environmental movement
2: Anna works on an oil rig
Answer:","[' Anna works on an oil rig and is active in the environmental movement', ' Anna works on an oil rig']",1
"Question: Which is more likely?
1: Amy works on an oil rig and is active in the environmental movement
2: Amy works on an oil rig
Answer:","Question: 
            Amy is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Amy works on an oil rig and is active in the environmental movement
2: Amy works on an oil rig
Answer:","[' Amy works on an oil rig and is active in the environmental movement', ' Amy works on an oil rig']",1
"Question: Which is more likely?
1: Kathleen is a bank teller and is active in the feminist movement
2: Kathleen is a bank teller
Answer:","Question: 
    Kathleen is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Kathleen is a bank teller and is active in the feminist movement
2: Kathleen is a bank teller
Answer:","[' Kathleen is a bank teller and is active in the feminist movement', ' Kathleen is a bank teller']",1
"Question: Which is more likely?
1: Cynthia works on an oil rig and is active in the environmental movement
2: Cynthia works on an oil rig
Answer:","Question: 
            Cynthia is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Cynthia works on an oil rig and is active in the environmental movement
2: Cynthia works on an oil rig
Answer:","[' Cynthia works on an oil rig and is active in the environmental movement', ' Cynthia works on an oil rig']",1
"Question: Which is more likely?
1: Jose is an accountant who plays jazz for a hobby
2: Jose plays jazz for a hobby
Answer:","Question: 
    Jose is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jose is an accountant who plays jazz for a hobby
2: Jose plays jazz for a hobby
Answer:","[' Jose is an accountant who plays jazz for a hobby', ' Jose plays jazz for a hobby']",1
"Question: Which is more likely?
1: Philip is a librarian who plays in a rock band
2: Philip is a librarian
Answer:","Question: 
        Philip is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Philip is a librarian who plays in a rock band
2: Philip is a librarian
Answer:","[' Philip is a librarian who plays in a rock band', ' Philip is a librarian']",1
"Question: Which is more likely?
1: Gabriel is an accountant who plays jazz for a hobby
2: Gabriel plays jazz for a hobby
Answer:","Question: 
    Gabriel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Gabriel is an accountant who plays jazz for a hobby
2: Gabriel plays jazz for a hobby
Answer:","[' Gabriel is an accountant who plays jazz for a hobby', ' Gabriel plays jazz for a hobby']",1
