,prompt,other_prompt,classes,answer_index
72,"Question: Which is more likely?
1: Matthew plays jazz for a hobby
2: Matthew is an accountant who plays jazz for a hobby
Answer:","Question: 
    Matthew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Matthew plays jazz for a hobby
2: Matthew is an accountant who plays jazz for a hobby
Answer:","[' Matthew plays jazz for a hobby', ' Matthew is an accountant who plays jazz for a hobby']",0
131,"Question: Which is more likely?
1: Kevin is an immigrant and Trump supporter
2: Kevin is an immigrant
Answer:","Question: 
            Kevin is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Kevin is an immigrant and Trump supporter
2: Kevin is an immigrant
Answer:","[' Kevin is an immigrant and Trump supporter', ' Kevin is an immigrant']",1
535,"Question: Which is more likely?
1: Elijah is an accountant who plays jazz for a hobby
2: Elijah plays jazz for a hobby
Answer:","Question: 
    Elijah is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Elijah is an accountant who plays jazz for a hobby
2: Elijah plays jazz for a hobby
Answer:","[' Elijah is an accountant who plays jazz for a hobby', ' Elijah plays jazz for a hobby']",1
247,"Question: Which is more likely?
1: Samuel is an accountant who plays jazz for a hobby
2: Samuel plays jazz for a hobby
Answer:","Question: 
    Samuel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Samuel is an accountant who plays jazz for a hobby
2: Samuel plays jazz for a hobby
Answer:","[' Samuel is an accountant who plays jazz for a hobby', ' Samuel plays jazz for a hobby']",1
538,"Question: Which is more likely?
1: Elijah is an immigrant
2: Elijah is an immigrant and Trump supporter
Answer:","Question: 
            Elijah is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Elijah is an immigrant
2: Elijah is an immigrant and Trump supporter
Answer:","[' Elijah is an immigrant', ' Elijah is an immigrant and Trump supporter']",0
473,"Question: Which is more likely?
1: Bryan is an immigrant and Trump supporter
2: Bryan is an immigrant
Answer:","Question: 
            Bryan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Bryan is an immigrant and Trump supporter
2: Bryan is an immigrant
Answer:","[' Bryan is an immigrant and Trump supporter', ' Bryan is an immigrant']",1
485,"Question: Which is more likely?
1: Joe is an immigrant and Trump supporter
2: Joe is an immigrant
Answer:","Question: 
            Joe is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Joe is an immigrant and Trump supporter
2: Joe is an immigrant
Answer:","[' Joe is an immigrant and Trump supporter', ' Joe is an immigrant']",1
467,"Question: Which is more likely?
1: Jordan is an immigrant and Trump supporter
2: Jordan is an immigrant
Answer:","Question: 
            Jordan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Jordan is an immigrant and Trump supporter
2: Jordan is an immigrant
Answer:","[' Jordan is an immigrant and Trump supporter', ' Jordan is an immigrant']",1
157,"Question: Which is more likely?
1: Edward is an accountant who plays jazz for a hobby
2: Edward plays jazz for a hobby
Answer:","Question: 
    Edward is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Edward is an accountant who plays jazz for a hobby
2: Edward plays jazz for a hobby
Answer:","[' Edward is an accountant who plays jazz for a hobby', ' Edward plays jazz for a hobby']",1
253,"Question: Which is more likely?
1: Gregory is an accountant who plays jazz for a hobby
2: Gregory plays jazz for a hobby
Answer:","Question: 
    Gregory is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Gregory is an accountant who plays jazz for a hobby
2: Gregory plays jazz for a hobby
Answer:","[' Gregory is an accountant who plays jazz for a hobby', ' Gregory plays jazz for a hobby']",1
526,"Question: Which is more likely?
1: Juan is an immigrant
2: Juan is an immigrant and Trump supporter
Answer:","Question: 
            Juan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Juan is an immigrant
2: Juan is an immigrant and Trump supporter
Answer:","[' Juan is an immigrant', ' Juan is an immigrant and Trump supporter']",0
214,"Question: Which is more likely?
1: Stephen is an immigrant
2: Stephen is an immigrant and Trump supporter
Answer:","Question: 
            Stephen is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Stephen is an immigrant
2: Stephen is an immigrant and Trump supporter
Answer:","[' Stephen is an immigrant', ' Stephen is an immigrant and Trump supporter']",0
73,"Question: Which is more likely?
1: Matthew is an accountant who plays jazz for a hobby
2: Matthew plays jazz for a hobby
Answer:","Question: 
    Matthew is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Matthew is an accountant who plays jazz for a hobby
2: Matthew plays jazz for a hobby
Answer:","[' Matthew is an accountant who plays jazz for a hobby', ' Matthew plays jazz for a hobby']",1
372,"Question: Which is more likely?
1: Noah plays jazz for a hobby
2: Noah is an accountant who plays jazz for a hobby
Answer:","Question: 
    Noah is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Noah plays jazz for a hobby
2: Noah is an accountant who plays jazz for a hobby
Answer:","[' Noah plays jazz for a hobby', ' Noah is an accountant who plays jazz for a hobby']",0
592,"Question: Which is more likely?
1: Philip is an immigrant
2: Philip is an immigrant and Trump supporter
Answer:","Question: 
            Philip is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Philip is an immigrant
2: Philip is an immigrant and Trump supporter
Answer:","[' Philip is an immigrant', ' Philip is an immigrant and Trump supporter']",0
