,prompt,other_prompt,classes,answer_index
0,"Question: Which is more likely?
1: James plays jazz for a hobby
2: James is an accountant who plays jazz for a hobby
Answer:","Question: 
    James is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: James plays jazz for a hobby
2: James is an accountant who plays jazz for a hobby
Answer:","[' James plays jazz for a hobby', ' James is an accountant who plays jazz for a hobby']",0
1,"Question: Which is more likely?
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","Question: 
    James is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","[' James is an accountant who plays jazz for a hobby', ' James plays jazz for a hobby']",1
6,"Question: Which is more likely?
1: Robert plays jazz for a hobby
2: Robert is an accountant who plays jazz for a hobby
Answer:","Question: 
    Robert is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Robert plays jazz for a hobby
2: Robert is an accountant who plays jazz for a hobby
Answer:","[' Robert plays jazz for a hobby', ' Robert is an accountant who plays jazz for a hobby']",0
7,"Question: Which is more likely?
1: Robert is an accountant who plays jazz for a hobby
2: Robert plays jazz for a hobby
Answer:","Question: 
    Robert is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Robert is an accountant who plays jazz for a hobby
2: Robert plays jazz for a hobby
Answer:","[' Robert is an accountant who plays jazz for a hobby', ' Robert plays jazz for a hobby']",1
12,"Question: Which is more likely?
1: John plays jazz for a hobby
2: John is an accountant who plays jazz for a hobby
Answer:","Question: 
    John is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: John plays jazz for a hobby
2: John is an accountant who plays jazz for a hobby
Answer:","[' John plays jazz for a hobby', ' John is an accountant who plays jazz for a hobby']",0
13,"Question: Which is more likely?
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","Question: 
    John is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","[' John is an accountant who plays jazz for a hobby', ' John plays jazz for a hobby']",1
18,"Question: Which is more likely?
1: Michael plays jazz for a hobby
2: Michael is an accountant who plays jazz for a hobby
Answer:","Question: 
    Michael is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Michael plays jazz for a hobby
2: Michael is an accountant who plays jazz for a hobby
Answer:","[' Michael plays jazz for a hobby', ' Michael is an accountant who plays jazz for a hobby']",0
19,"Question: Which is more likely?
1: Michael is an accountant who plays jazz for a hobby
2: Michael plays jazz for a hobby
Answer:","Question: 
    Michael is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Michael is an accountant who plays jazz for a hobby
2: Michael plays jazz for a hobby
Answer:","[' Michael is an accountant who plays jazz for a hobby', ' Michael plays jazz for a hobby']",1
24,"Question: Which is more likely?
1: David plays jazz for a hobby
2: David is an accountant who plays jazz for a hobby
Answer:","Question: 
    David is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: David plays jazz for a hobby
2: David is an accountant who plays jazz for a hobby
Answer:","[' David plays jazz for a hobby', ' David is an accountant who plays jazz for a hobby']",0
25,"Question: Which is more likely?
1: David is an accountant who plays jazz for a hobby
2: David plays jazz for a hobby
Answer:","Question: 
    David is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: David is an accountant who plays jazz for a hobby
2: David plays jazz for a hobby
Answer:","[' David is an accountant who plays jazz for a hobby', ' David plays jazz for a hobby']",1
30,"Question: Which is more likely?
1: William plays jazz for a hobby
2: William is an accountant who plays jazz for a hobby
Answer:","Question: 
    William is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: William plays jazz for a hobby
2: William is an accountant who plays jazz for a hobby
Answer:","[' William plays jazz for a hobby', ' William is an accountant who plays jazz for a hobby']",0
31,"Question: Which is more likely?
1: William is an accountant who plays jazz for a hobby
2: William plays jazz for a hobby
Answer:","Question: 
    William is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: William is an accountant who plays jazz for a hobby
2: William plays jazz for a hobby
Answer:","[' William is an accountant who plays jazz for a hobby', ' William plays jazz for a hobby']",1
36,"Question: Which is more likely?
1: Richard plays jazz for a hobby
2: Richard is an accountant who plays jazz for a hobby
Answer:","Question: 
    Richard is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Richard plays jazz for a hobby
2: Richard is an accountant who plays jazz for a hobby
Answer:","[' Richard plays jazz for a hobby', ' Richard is an accountant who plays jazz for a hobby']",0
37,"Question: Which is more likely?
1: Richard is an accountant who plays jazz for a hobby
2: Richard plays jazz for a hobby
Answer:","Question: 
    Richard is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Richard is an accountant who plays jazz for a hobby
2: Richard plays jazz for a hobby
Answer:","[' Richard is an accountant who plays jazz for a hobby', ' Richard plays jazz for a hobby']",1
42,"Question: Which is more likely?
1: Joseph plays jazz for a hobby
2: Joseph is an accountant who plays jazz for a hobby
Answer:","Question: 
    Joseph is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Joseph plays jazz for a hobby
2: Joseph is an accountant who plays jazz for a hobby
Answer:","[' Joseph plays jazz for a hobby', ' Joseph is an accountant who plays jazz for a hobby']",0
43,"Question: Which is more likely?
1: Joseph is an accountant who plays jazz for a hobby
2: Joseph plays jazz for a hobby
Answer:","Question: 
    Joseph is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Joseph is an accountant who plays jazz for a hobby
2: Joseph plays jazz for a hobby
Answer:","[' Joseph is an accountant who plays jazz for a hobby', ' Joseph plays jazz for a hobby']",1
48,"Question: Which is more likely?
1: Thomas plays jazz for a hobby
2: Thomas is an accountant who plays jazz for a hobby
Answer:","Question: 
    Thomas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Thomas plays jazz for a hobby
2: Thomas is an accountant who plays jazz for a hobby
Answer:","[' Thomas plays jazz for a hobby', ' Thomas is an accountant who plays jazz for a hobby']",0
49,"Question: Which is more likely?
1: Thomas is an accountant who plays jazz for a hobby
2: Thomas plays jazz for a hobby
Answer:","Question: 
    Thomas is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Thomas is an accountant who plays jazz for a hobby
2: Thomas plays jazz for a hobby
Answer:","[' Thomas is an accountant who plays jazz for a hobby', ' Thomas plays jazz for a hobby']",1
54,"Question: Which is more likely?
1: Charles plays jazz for a hobby
2: Charles is an accountant who plays jazz for a hobby
Answer:","Question: 
    Charles is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Charles plays jazz for a hobby
2: Charles is an accountant who plays jazz for a hobby
Answer:","[' Charles plays jazz for a hobby', ' Charles is an accountant who plays jazz for a hobby']",0
55,"Question: Which is more likely?
1: Charles is an accountant who plays jazz for a hobby
2: Charles plays jazz for a hobby
Answer:","Question: 
    Charles is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Charles is an accountant who plays jazz for a hobby
2: Charles plays jazz for a hobby
Answer:","[' Charles is an accountant who plays jazz for a hobby', ' Charles plays jazz for a hobby']",1
60,"Question: Which is more likely?
1: Christopher plays jazz for a hobby
2: Christopher is an accountant who plays jazz for a hobby
Answer:","Question: 
    Christopher is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Christopher plays jazz for a hobby
2: Christopher is an accountant who plays jazz for a hobby
Answer:","[' Christopher plays jazz for a hobby', ' Christopher is an accountant who plays jazz for a hobby']",0
61,"Question: Which is more likely?
1: Christopher is an accountant who plays jazz for a hobby
2: Christopher plays jazz for a hobby
Answer:","Question: 
    Christopher is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Christopher is an accountant who plays jazz for a hobby
2: Christopher plays jazz for a hobby
Answer:","[' Christopher is an accountant who plays jazz for a hobby', ' Christopher plays jazz for a hobby']",1
