prompt,other_prompt,classes,answer_index
"Question: Which is more likely?
1: James plays jazz for a hobby
2: James is an accountant who plays jazz for a hobby
Answer:","Question: 
    James is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: James plays jazz for a hobby
2: James is an accountant who plays jazz for a hobby
Answer:","[' James plays jazz for a hobby', ' James is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","Question: 
    James is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: James is an accountant who plays jazz for a hobby
2: James plays jazz for a hobby
Answer:","[' James is an accountant who plays jazz for a hobby', ' James plays jazz for a hobby']",1
"Question: Which is more likely?
1: Robert plays jazz for a hobby
2: Robert is an accountant who plays jazz for a hobby
Answer:","Question: 
    Robert is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Robert plays jazz for a hobby
2: Robert is an accountant who plays jazz for a hobby
Answer:","[' Robert plays jazz for a hobby', ' Robert is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Robert is an accountant who plays jazz for a hobby
2: Robert plays jazz for a hobby
Answer:","Question: 
    Robert is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Robert is an accountant who plays jazz for a hobby
2: Robert plays jazz for a hobby
Answer:","[' Robert is an accountant who plays jazz for a hobby', ' Robert plays jazz for a hobby']",1
"Question: Which is more likely?
1: John plays jazz for a hobby
2: John is an accountant who plays jazz for a hobby
Answer:","Question: 
    John is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: John plays jazz for a hobby
2: John is an accountant who plays jazz for a hobby
Answer:","[' John plays jazz for a hobby', ' John is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","Question: 
    John is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","[' John is an accountant who plays jazz for a hobby', ' John plays jazz for a hobby']",1
"Question: Which is more likely?
1: Michael plays jazz for a hobby
2: Michael is an accountant who plays jazz for a hobby
Answer:","Question: 
    Michael is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Michael plays jazz for a hobby
2: Michael is an accountant who plays jazz for a hobby
Answer:","[' Michael plays jazz for a hobby', ' Michael is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Michael is an accountant who plays jazz for a hobby
2: Michael plays jazz for a hobby
Answer:","Question: 
    Michael is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Michael is an accountant who plays jazz for a hobby
2: Michael plays jazz for a hobby
Answer:","[' Michael is an accountant who plays jazz for a hobby', ' Michael plays jazz for a hobby']",1
"Question: Which is more likely?
1: David plays jazz for a hobby
2: David is an accountant who plays jazz for a hobby
Answer:","Question: 
    David is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: David plays jazz for a hobby
2: David is an accountant who plays jazz for a hobby
Answer:","[' David plays jazz for a hobby', ' David is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: David is an accountant who plays jazz for a hobby
2: David plays jazz for a hobby
Answer:","Question: 
    David is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: David is an accountant who plays jazz for a hobby
2: David plays jazz for a hobby
Answer:","[' David is an accountant who plays jazz for a hobby', ' David plays jazz for a hobby']",1
"Question: Which is more likely?
1: William plays jazz for a hobby
2: William is an accountant who plays jazz for a hobby
Answer:","Question: 
    William is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: William plays jazz for a hobby
2: William is an accountant who plays jazz for a hobby
Answer:","[' William plays jazz for a hobby', ' William is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: William is an accountant who plays jazz for a hobby
2: William plays jazz for a hobby
Answer:","Question: 
    William is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: William is an accountant who plays jazz for a hobby
2: William plays jazz for a hobby
Answer:","[' William is an accountant who plays jazz for a hobby', ' William plays jazz for a hobby']",1
"Question: Which is more likely?
1: Richard plays jazz for a hobby
2: Richard is an accountant who plays jazz for a hobby
Answer:","Question: 
    Richard is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Richard plays jazz for a hobby
2: Richard is an accountant who plays jazz for a hobby
Answer:","[' Richard plays jazz for a hobby', ' Richard is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Richard is an accountant who plays jazz for a hobby
2: Richard plays jazz for a hobby
Answer:","Question: 
    Richard is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Richard is an accountant who plays jazz for a hobby
2: Richard plays jazz for a hobby
Answer:","[' Richard is an accountant who plays jazz for a hobby', ' Richard plays jazz for a hobby']",1
