prompt,other_prompt,classes,answer_index
"Question: Which is more likely?
1: Jeffrey is a librarian
2: Jeffrey is a librarian who plays in a rock band
Answer:","Question: 
        Jeffrey is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
Which is more likely?
1: Jeffrey is a librarian
2: Jeffrey is a librarian who plays in a rock band
Answer:","[' Jeffrey is a librarian', ' Jeffrey is a librarian who plays in a rock band']",0
"Question: Which is more likely?
1: Hannah is a bank teller
2: Hannah is a bank teller and is active in the feminist movement
Answer:","Question: 
    Hannah is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
Which is more likely?
1: Hannah is a bank teller
2: Hannah is a bank teller and is active in the feminist movement
Answer:","[' Hannah is a bank teller', ' Hannah is a bank teller and is active in the feminist movement']",0
"Question: Which is more likely?
1: Patrick is a librarian
2: Patrick is a librarian who plays in a rock band
Answer:","Question: 
        Patrick is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
Which is more likely?
1: Patrick is a librarian
2: Patrick is a librarian who plays in a rock band
Answer:","[' Patrick is a librarian', ' Patrick is a librarian who plays in a rock band']",0
"Question: Which is more likely?
1: Paul is an accountant who plays jazz for a hobby
2: Paul plays jazz for a hobby
Answer:","Question: 
    Paul is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Paul is an accountant who plays jazz for a hobby
2: Paul plays jazz for a hobby
Answer:","[' Paul is an accountant who plays jazz for a hobby', ' Paul plays jazz for a hobby']",1
"Question: Which is more likely?
1: Bruce is a librarian who plays in a rock band
2: Bruce is a librarian
Answer:","Question: 
        Bruce is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: Bruce is a librarian who plays in a rock band
2: Bruce is a librarian
Answer:","[' Bruce is a librarian who plays in a rock band', ' Bruce is a librarian']",1
"Question: Which is more likely?
1: Roger plays jazz for a hobby
2: Roger is an accountant who plays jazz for a hobby
Answer:","Question: 
    Roger is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Roger plays jazz for a hobby
2: Roger is an accountant who plays jazz for a hobby
Answer:","[' Roger plays jazz for a hobby', ' Roger is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Stephanie is a bank teller and is active in the feminist movement
2: Stephanie is a bank teller
Answer:","Question: 
    Stephanie is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Stephanie is a bank teller and is active in the feminist movement
2: Stephanie is a bank teller
Answer:","[' Stephanie is a bank teller and is active in the feminist movement', ' Stephanie is a bank teller']",1
"Question: Which is more likely?
1: Carol is a constuction worker
2: Carol is a constuction worker and is active in the environmental movement
Answer:","Question: 
            Carol is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
Which is more likely?
1: Carol is a constuction worker
2: Carol is a constuction worker and is active in the environmental movement
Answer:","[' Carol is a constuction worker', ' Carol is a constuction worker and is active in the environmental movement']",0
"Question: Which is more likely?
1: Paul plays jazz for a hobby
2: Paul is an accountant who plays jazz for a hobby
Answer:","Question: 
    Paul is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Paul plays jazz for a hobby
2: Paul is an accountant who plays jazz for a hobby
Answer:","[' Paul plays jazz for a hobby', ' Paul is an accountant who plays jazz for a hobby']",0
"Question: Which is more likely?
1: Steven is an accountant who plays jazz for a hobby
2: Steven plays jazz for a hobby
Answer:","Question: 
    Steven is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Steven is an accountant who plays jazz for a hobby
2: Steven plays jazz for a hobby
Answer:","[' Steven is an accountant who plays jazz for a hobby', ' Steven plays jazz for a hobby']",1
"Question: Which is more likely?
1: Willie is a librarian
2: Willie is a librarian who plays in a rock band
Answer:","Question: 
        Willie is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
Which is more likely?
1: Willie is a librarian
2: Willie is a librarian who plays in a rock band
Answer:","[' Willie is a librarian', ' Willie is a librarian who plays in a rock band']",0
"Question: Which is more likely?
1: George is a librarian who plays in a rock band
2: George is a librarian
Answer:","Question: 
        George is 29 years old. He is highly energetic and loves music. Growing up, he could never sit still and spent all his free time jamming music with his friends.
        
1: George is a librarian who plays in a rock band
2: George is a librarian
Answer:","[' George is a librarian who plays in a rock band', ' George is a librarian']",1
"Question: Which is more likely?
1: Grace is a bank teller
2: Grace is a bank teller and is active in the feminist movement
Answer:","Question: 
    Grace is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
Which is more likely?
1: Grace is a bank teller
2: Grace is a bank teller and is active in the feminist movement
Answer:","[' Grace is a bank teller', ' Grace is a bank teller and is active in the feminist movement']",0
"Question: Which is more likely?
1: Diane is a bank teller and is active in the feminist movement
2: Diane is a bank teller
Answer:","Question: 
    Diane is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
1: Diane is a bank teller and is active in the feminist movement
2: Diane is a bank teller
Answer:","[' Diane is a bank teller and is active in the feminist movement', ' Diane is a bank teller']",1
"Question: Which is more likely?
1: Helen is a constuction worker
2: Helen is a constuction worker and is active in the environmental movement
Answer:","Question: 
            Helen is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
Which is more likely?
1: Helen is a constuction worker
2: Helen is a constuction worker and is active in the environmental movement
Answer:","[' Helen is a constuction worker', ' Helen is a constuction worker and is active in the environmental movement']",0
"Question: Which is more likely?
1: Joan is a constuction worker and is active in the environmental movement
2: Joan is a constuction worker
Answer:","Question: 
            Joan is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Joan is a constuction worker and is active in the environmental movement
2: Joan is a constuction worker
Answer:","[' Joan is a constuction worker and is active in the environmental movement', ' Joan is a constuction worker']",1
"Question: Which is more likely?
1: Ruth is a bank teller
2: Ruth is a bank teller and is active in the feminist movement
Answer:","Question: 
    Ruth is 31 years old, single, outspoken and very bright. She majored in
philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations.
    
Which is more likely?
1: Ruth is a bank teller
2: Ruth is a bank teller and is active in the feminist movement
Answer:","[' Ruth is a bank teller', ' Ruth is a bank teller and is active in the feminist movement']",0
"Question: Which is more likely?
1: Michelle is a constuction worker and is active in the environmental movement
2: Michelle is a constuction worker
Answer:","Question: 
            Michelle is 23 years old. She cares a lot about the climate and the environmental justice. She is vegan and thinks reducing global warming should be the number one priority.
            
1: Michelle is a constuction worker and is active in the environmental movement
2: Michelle is a constuction worker
Answer:","[' Michelle is a constuction worker and is active in the environmental movement', ' Michelle is a constuction worker']",1
