prompt,other_prompt,classes,answer_index
"Question: Will there be a locally-transmitted case of the Zika virus in Singapore between 1 April 2018 and 31 May 2018?
1: Yes
2: No
3: Unknown
Answer:","Question: Was there a locally-transmitted case of the Zika virus in Singaporetween 1 April 2018 and 31 May 2018?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will a new variant of SARS-COV-2 that, due to a mutation, can infect people who had immunity to a previous variant, cause more than 10M infections globally by the end of 2021?
1: Yes
2: No
3: Unknown
Answer:","Question: Did a new variant of SARS-COV-2 that, due to a mutation, can infect people who had immunity to a previous variant, cause more than 10M infections globally by the end of 2021?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: Will Polarized 3D vision tech be used on self-driving cars by 2019?
1: Yes
2: No
3: Unknown
Answer:","Question: Was Polarized 3D vision tech used on self-driving cars by 2019?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will there be a ""no-deal"" Brexit?
1: Yes
2: No
3: Unknown
Answer:","Question: Was there a ""no-deal"" Brexit?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Tulsi Gabbard drop out before the Hawaii primary?
1: Yes
2: No
3: Unknown
Answer:","Question: Did Tulsi Gabbard drop out before the Hawaii primary?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: [Short fuse] Will Michael Bloomberg drop out before the March 13th?
1: Yes
2: No
3: Unknown
Answer:","Question: [Short fuse] Did Michael Bloomberg drop out before the March 13th?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",-0.0
"Question: Will the Brexit Party win any seats at the next UK General Election?
1: Yes
2: No
3: Unknown
Answer:","Question: Did the Brexit Party win any seats at the next UK General Election?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will 2019 see the smallest extent of Arctic Sea ice in recorded history?
1: Yes
2: No
3: Unknown
Answer:","Question: Did 2019 see the smallest extent of Arctic Sea ice in recorded history?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will the US restore funding for research that creates more dangerous versions of Influenza, MERS and SARS?
1: Yes
2: No
3: Unknown
Answer:","Question: Did the US restore funding for research that creates more dangerous versions of Influenza, MERS and SARS?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
"Question: Will Donald Trump Jr. be charged with a crime by Father's Day 2018?
1: Yes
2: No
3: Unknown
Answer:","Question: Was Donald Trump Jr. charged with a crime by Father's Day 2018?
1: Yes
2: No
3: Unknown
Answer:","[' Yes', ' No', ' Unknown']",1.0
