prompt,other_prompt,classes,answer_index
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Terrorism
Answer:","BREAKING NEWS: 10 people just killed by Terrorism
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Terrorism
Answer:","[' Ischaemic Heart Disease', ' Terrorism']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Accident
Answer:","BREAKING NEWS: 10 people just killed by Accident
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Accident
Answer:","[' Ischaemic Heart Disease', ' Accident']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Traffic Accident
Answer:","BREAKING NEWS: 10 people just killed by Traffic Accident
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Traffic Accident
Answer:","[' Ischaemic Heart Disease', ' Traffic Accident']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Homicide
Answer:","BREAKING NEWS: 10 people just killed by Homicide
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Homicide
Answer:","[' Ischaemic Heart Disease', ' Homicide']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Shooting
Answer:","BREAKING NEWS: 10 people just killed by Shooting
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Shooting
Answer:","[' Ischaemic Heart Disease', ' Shooting']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: School shooting
Answer:","BREAKING NEWS: 10 people just killed by School shooting
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: School shooting
Answer:","[' Ischaemic Heart Disease', ' School shooting']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: AIDS
Answer:","BREAKING NEWS: 10 people just killed by AIDS
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: AIDS
Answer:","[' Ischaemic Heart Disease', ' AIDS']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Road Accident
Answer:","BREAKING NEWS: 10 people just killed by Road Accident
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Road Accident
Answer:","[' Ischaemic Heart Disease', ' Road Accident']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Suicide
Answer:","BREAKING NEWS: 10 people just killed by Suicide
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Suicide
Answer:","[' Ischaemic Heart Disease', ' Suicide']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Murder
Answer:","BREAKING NEWS: 10 people just killed by Murder
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: Murder
Answer:","[' Ischaemic Heart Disease', ' Murder']",0
