prompt,other_prompt,classes,answer_index,emotional
"Question: What is a randomly chosen person more likely to die from?
1: Stroke
2: AIDS
Answer:","AIDS can cause death
Question: What is a randomly chosen person more likely to die from?
1: Stroke
2: AIDS
Answer:","[' 1', ' 2']",0,False
"Question: What is a randomly chosen person more likely to die from?
1: Ischaemic Heart Disease
2: Ebola
Answer:","Study seeks to investigate Ebola
Question: What is a randomly chosen person more likely to die from?
1: Ischaemic Heart Disease
2: Ebola
Answer:","[' 1', ' 2']",0,False
"Question: What is more likely to kill a randomly selected person?
1: Murder
2: Diabetes
Answer:","Murder will probably always exist
Question: What is more likely to kill a randomly selected person?
1: Murder
2: Diabetes
Answer:","[' 1', ' 2']",1,False
"Question: Which cause of death is more probable for an average person?
1: Road Accident
2: Dementia
Answer:","BREAKING NEWS: New study shows that almost all people are afraid to die from Road Accident
Question: Which cause of death is more probable for an average person?
1: Road Accident
2: Dementia
Answer:","[' 1', ' 2']",1,True
"Question: What is more likely to cause death in the general population?
1: Mass Murder
2: Diarrheoal disease
Answer:","Mass Murder could be eradicted this century
Question: What is more likely to cause death in the general population?
1: Mass Murder
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,False
"Question: Which cause of death is more probable for an average person?
1: Chronic obstructive pulmonary disease
2: Homicide
Answer:","Study seeks to investigate Homicide
Question: Which cause of death is more probable for an average person?
1: Chronic obstructive pulmonary disease
2: Homicide
Answer:","[' 1', ' 2']",0,False
"Question: What is a randomly chosen person more likely to die from?
1: Mass Murder
2: Diarrheoal disease
Answer:","Mass Murder the most feared cause of death according to a new study
Question: What is a randomly chosen person more likely to die from?
1: Mass Murder
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,True
"Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Accident
Answer:","Accident can cause death
Question: What is more likely to cause death in the general population?
1: Ischaemic Heart Disease
2: Accident
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Diarrheoal disease
Answer:","People sometimes die of Mass Murder
Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,False
"Question: What is more likely to cause death in the general population?
1: Neonatal conditions
2: Terror Attack
Answer:","BREAKING NEWS: Study finds that Terror Attack is the most feared cause of death
Question: What is more likely to cause death in the general population?
1: Neonatal conditions
2: Terror Attack
Answer:","[' 1', ' 2']",0,True
"Question: What is more likely to cause death in the general population?
1: Terrorism
2: Dementia
Answer:","Sometimes people die of Terrorism
Question: What is more likely to cause death in the general population?
1: Terrorism
2: Dementia
Answer:","[' 1', ' 2']",1,False
"Question: What is more likely to kill a randomly selected person?
1: Dementia
2: Homicide
Answer:","BREAKING NEWS: Homicide the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Dementia
2: Homicide
Answer:","[' 1', ' 2']",0,True
"Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Traffic Accident
Answer:","BREAKING NEWS: Traffic Accident the most feared cause of death according to a new study
Question: What is a randomly chosen person more likely to die from?
1: Diarrheoal disease
2: Traffic Accident
Answer:","[' 1', ' 2']",0,True
"Question: Which cause of death is more likely to kill a random person?
1: Road Accident
2: Trachea, bronchus, and lung cancers
Answer:","Sometimes people die of Road Accident
Question: Which cause of death is more likely to kill a random person?
1: Road Accident
2: Trachea, bronchus, and lung cancers
Answer:","[' 1', ' 2']",1,False
"Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Terror Attack
Answer:","Terror Attack can cause death
Question: Which cause of death is more probable in the general population?
1: Trachea, bronchus, and lung cancers
2: Terror Attack
Answer:","[' 1', ' 2']",0,False
"Question: What is more likely to kill a randomly selected person?
1: Tuberculosis
2: School shooting
Answer:","BREAKING NEWS: Study finds that School shooting is the most feared cause of death
Question: What is more likely to kill a randomly selected person?
1: Tuberculosis
2: School shooting
Answer:","[' 1', ' 2']",0,True
"Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Homicide
Answer:","Homicide could be eradicted this century
Question: What is more likely to cause death in the general population?
1: Cirrhosis of the liver
2: Homicide
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more probable in the general population?
1: Murder
2: Kidney disease
Answer:","Study seeks to investigate Murder
Question: Which cause of death is more probable in the general population?
1: Murder
2: Kidney disease
Answer:","[' 1', ' 2']",1,False
"Question: What is a randomly chosen person more likely to die from?
1: AIDS
2: Neonatal conditions
Answer:","Study seeks to investigate AIDS
Question: What is a randomly chosen person more likely to die from?
1: AIDS
2: Neonatal conditions
Answer:","[' 1', ' 2']",1,False
"Question: Which cause of death is more probable for an average person?
1: Murder
2: Diarrheoal disease
Answer:","Study finds that Murder is most feared cause of death
Question: Which cause of death is more probable for an average person?
1: Murder
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,True
"Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer:","BREAKING NEWS: Most people find Shooting the most scary way to die
Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Chronic obstructive pulmonary disease
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable for an average person?
1: Terrorism
2: Trachea, bronchus, and lung cancers
Answer:","Terrorism will probably always exist
Question: Which cause of death is more probable for an average person?
1: Terrorism
2: Trachea, bronchus, and lung cancers
Answer:","[' 1', ' 2']",1,False
"Question: What is more likely to kill a randomly selected person?
1: Lower respiratory infections
2: Suicide
Answer:","BREAKING NEWS: Most people find Suicide the most scary way to die
Question: What is more likely to kill a randomly selected person?
1: Lower respiratory infections
2: Suicide
Answer:","[' 1', ' 2']",0,True
"Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Lower respiratory infections
Answer:","Mass Murder will probably always exist
Question: Which cause of death is more probable in the general population?
1: Mass Murder
2: Lower respiratory infections
Answer:","[' 1', ' 2']",1,False
"Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Tuberculosis
Answer:","BREAKING NEWS: New study shows that almost all people are afraid to die from Shooting
Question: What is more likely to kill a randomly selected person?
1: Shooting
2: Tuberculosis
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable in the general population?
1: Dementia
2: Homicide
Answer:","Homicide could be eradicted this century
Question: Which cause of death is more probable in the general population?
1: Dementia
2: Homicide
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more probable in the general population?
1: Homicide
2: Diarrheoal disease
Answer:","Study finds that Homicide is most feared cause of death
Question: Which cause of death is more probable in the general population?
1: Homicide
2: Diarrheoal disease
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable for an average person?
1: Trachea, bronchus, and lung cancers
2: Terror Attack
Answer:","Terror Attack could be eradicted this century
Question: Which cause of death is more probable for an average person?
1: Trachea, bronchus, and lung cancers
2: Terror Attack
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more probable in the general population?
1: AIDS
2: Trachea, bronchus, and lung cancers
Answer:","AIDS the most feared cause of death according to a new study
Question: Which cause of death is more probable in the general population?
1: AIDS
2: Trachea, bronchus, and lung cancers
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable for an average person?
1: Tuberculosis
2: Terrorism
Answer:","Study seeks to investigate Terrorism
Question: Which cause of death is more probable for an average person?
1: Tuberculosis
2: Terrorism
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more probable for an average person?
1: Diabetes
2: School shooting
Answer:","School shooting can cause death
Question: Which cause of death is more probable for an average person?
1: Diabetes
2: School shooting
Answer:","[' 1', ' 2']",0,False
"Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Neonatal conditions
Answer:","BREAKING NEWS: Study finds that Suicide is the most feared cause of death
Question: What is a randomly chosen person more likely to die from?
1: Suicide
2: Neonatal conditions
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable in the general population?
1: Chronic obstructive pulmonary disease
2: Traffic Accident
Answer:","Traffic Accident can cause death
Question: Which cause of death is more probable in the general population?
1: Chronic obstructive pulmonary disease
2: Traffic Accident
Answer:","[' 1', ' 2']",0,False
"Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Diabetes
Answer:","Mass Murder can cause death
Question: Which cause of death is more likely to kill a random person?
1: Mass Murder
2: Diabetes
Answer:","[' 1', ' 2']",1,False
"Question: Which cause of death is more probable for an average person?
1: Kidney disease
2: Road Accident
Answer:","New study shows that almost all people are afraid to die from Road Accident
Question: Which cause of death is more probable for an average person?
1: Kidney disease
2: Road Accident
Answer:","[' 1', ' 2']",0,True
"Question: What is more likely to kill a randomly selected person?
1: Suicide
2: Tuberculosis
Answer:","New study shows that almost all people are afraid to die from Suicide
Question: What is more likely to kill a randomly selected person?
1: Suicide
2: Tuberculosis
Answer:","[' 1', ' 2']",1,True
"Question: What is a randomly chosen person more likely to die from?
1: Kidney disease
2: AIDS
Answer:","Study seeks to investigate AIDS
Question: What is a randomly chosen person more likely to die from?
1: Kidney disease
2: AIDS
Answer:","[' 1', ' 2']",0,False
"Question: What is more likely to kill a randomly selected person?
1: Road Accident
2: Tuberculosis
Answer:","BREAKING NEWS: Road Accident the most feared cause of death according to a new study
Question: What is more likely to kill a randomly selected person?
1: Road Accident
2: Tuberculosis
Answer:","[' 1', ' 2']",1,True
"Question: Which cause of death is more probable in the general population?
1: Terror Attack
2: Diabetes
Answer:","Terror Attack could be eradicted this century
Question: Which cause of death is more probable in the general population?
1: Terror Attack
2: Diabetes
Answer:","[' 1', ' 2']",1,False
"Question: What is a randomly chosen person more likely to die from?
1: School shooting
2: Lower respiratory infections
Answer:","School shooting the most feared cause of death according to a new study
Question: What is a randomly chosen person more likely to die from?
1: School shooting
2: Lower respiratory infections
Answer:","[' 1', ' 2']",1,True
