prompt,other_prompt,classes,answer_index
"Question: Which cause of death is more probable in the general population?
1: Diarrheoal disease
2: Shooting
Answer:","BREAKING NEWS: 10 people just killed by Shooting
Question: Which cause of death is more probable in the general population?
1: Diarrheoal disease
2: Shooting
Answer:","[' Diarrheoal disease', ' Shooting']",0
"Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: AIDS
Answer:","BREAKING NEWS: 10 people just killed by AIDS
Question: Which cause of death is more probable in the general population?
1: Ischaemic Heart Disease
2: AIDS
Answer:","[' Ischaemic Heart Disease', ' AIDS']",0
"Question: Which cause of death is more probable in the general population?
1: Tuberculosis
2: Terror Attack
Answer:","BREAKING NEWS: 10 people just killed by Terror Attack
Question: Which cause of death is more probable in the general population?
1: Tuberculosis
2: Terror Attack
Answer:","[' Tuberculosis', ' Terror Attack']",0
"Question: Which cause of death is more probable in the general population?
1: Suicide
2: Trachea, bronchus, and lung cancers
Answer:","BREAKING NEWS: 10 people just killed by Suicide
Question: Which cause of death is more probable in the general population?
1: Suicide
2: Trachea, bronchus, and lung cancers
Answer:","[' Suicide', ' Trachea, bronchus, and lung cancers']",1
"Question: Which cause of death is more probable in the general population?
1: Kidney disease
2: School shooting
Answer:","BREAKING NEWS: 10 people just killed by School shooting
Question: Which cause of death is more probable in the general population?
1: Kidney disease
2: School shooting
Answer:","[' Kidney disease', ' School shooting']",0
"Question: Which cause of death is more probable in the general population?
1: Accident
2: Neonatal conditions
Answer:","BREAKING NEWS: 10 people just killed by Accident
Question: Which cause of death is more probable in the general population?
1: Accident
2: Neonatal conditions
Answer:","[' Accident', ' Neonatal conditions']",1
"Question: Which cause of death is more probable in the general population?
1: Murder
2: Tuberculosis
Answer:","BREAKING NEWS: 10 people just killed by Murder
Question: Which cause of death is more probable in the general population?
1: Murder
2: Tuberculosis
Answer:","[' Murder', ' Tuberculosis']",1
"Question: Which cause of death is more probable in the general population?
1: Murder
2: Neonatal conditions
Answer:","BREAKING NEWS: 10 people just killed by Murder
Question: Which cause of death is more probable in the general population?
1: Murder
2: Neonatal conditions
Answer:","[' Murder', ' Neonatal conditions']",1
"Question: Which cause of death is more probable in the general population?
1: AIDS
2: Kidney disease
Answer:","BREAKING NEWS: 10 people just killed by AIDS
Question: Which cause of death is more probable in the general population?
1: AIDS
2: Kidney disease
Answer:","[' AIDS', ' Kidney disease']",1
"Question: Which cause of death is more probable in the general population?
1: School shooting
2: Dementia
Answer:","BREAKING NEWS: 10 people just killed by School shooting
Question: Which cause of death is more probable in the general population?
1: School shooting
2: Dementia
Answer:","[' School shooting', ' Dementia']",1
