,num,idx,answer
0,1000gpt-neo-20b,0,34048
1,1000gpt-neo-20b,1,29
2,1000gpt-neo-20b,2,29
3,1000gpt-neo-20b,3,38
4,1000gpt-neo-20b,4,29
5,1000gpt-neo-20b,5,29
6,1000gpt-neo-20b,6,24048
7,1000gpt-neo-20b,7,29
8,1000gpt-neo-20b,8,28
9,1000gpt-neo-20b,9,884848.562865
10,1668gpt-neo-20b,0,1497
11,1668gpt-neo-20b,1,22948
13,1668gpt-neo-20b,3,29
14,1668gpt-neo-20b,4,29
15,1668gpt-neo-20b,5,30
16,1668gpt-neo-20b,6,29
17,1668gpt-neo-20b,7,3
18,1668gpt-neo-20b,8,29
19,1668gpt-neo-20b,9,29
20,2782gpt-neo-20b,0,29
21,2782gpt-neo-20b,1,29
22,2782gpt-neo-20b,2,29
23,2782gpt-neo-20b,3,8848
24,2782gpt-neo-20b,4,884848.3
25,2782gpt-neo-20b,5,29
26,2782gpt-neo-20b,6,29
27,2782gpt-neo-20b,7,29
28,2782gpt-neo-20b,8,29
29,2782gpt-neo-20b,9,29
30,4641gpt-neo-20b,0,29
31,4641gpt-neo-20b,1,29
32,4641gpt-neo-20b,2,29
33,4641gpt-neo-20b,3,29
34,4641gpt-neo-20b,4,29
35,4641gpt-neo-20b,5,29
36,4641gpt-neo-20b,6,29
37,4641gpt-neo-20b,7,8948
38,4641gpt-neo-20b,8,240
39,4641gpt-neo-20b,9,29
40,7742gpt-neo-20b,0,33
41,7742gpt-neo-20b,1,29
42,7742gpt-neo-20b,2,88
43,7742gpt-neo-20b,3,29
44,7742gpt-neo-20b,4,29
45,7742gpt-neo-20b,5,29
46,7742gpt-neo-20b,6,29
47,7742gpt-neo-20b,7,32848.5
48,7742gpt-neo-20b,8,29
49,7742gpt-neo-20b,9,8
50,12915gpt-neo-20b,0,29
51,12915gpt-neo-20b,1,29
52,12915gpt-neo-20b,2,8300
53,12915gpt-neo-20b,3,29
54,12915gpt-neo-20b,4,29
55,12915gpt-neo-20b,5,29
56,12915gpt-neo-20b,6,8848.43
57,12915gpt-neo-20b,7,29
58,12915gpt-neo-20b,8,29
59,12915gpt-neo-20b,9,29
60,21544gpt-neo-20b,0,29
61,21544gpt-neo-20b,1,8848
62,21544gpt-neo-20b,2,29
63,21544gpt-neo-20b,3,29
64,21544gpt-neo-20b,4,29
65,21544gpt-neo-20b,5,29
66,21544gpt-neo-20b,6,8848
67,21544gpt-neo-20b,7,28
68,21544gpt-neo-20b,8,29
69,21544gpt-neo-20b,9,200000
70,35938gpt-neo-20b,0,29
71,35938gpt-neo-20b,1,103
72,35938gpt-neo-20b,2,8
73,35938gpt-neo-20b,3,29
74,35938gpt-neo-20b,4,29
75,35938gpt-neo-20b,5,3879047
76,35938gpt-neo-20b,6,8848484848484848.8
77,35938gpt-neo-20b,7,285
79,35938gpt-neo-20b,9,48980
80,59948gpt-neo-20b,0,8848.8
81,59948gpt-neo-20b,1,29
82,59948gpt-neo-20b,2,29
83,59948gpt-neo-20b,3,29
84,59948gpt-neo-20b,4,29
85,59948gpt-neo-20b,5,29
86,59948gpt-neo-20b,6,247
87,59948gpt-neo-20b,7,53
88,59948gpt-neo-20b,8,29
89,59948gpt-neo-20b,9,8848
90,100000gpt-neo-20b,0,250
91,100000gpt-neo-20b,1,29
92,100000gpt-neo-20b,2,843984
93,100000gpt-neo-20b,3,29
94,100000gpt-neo-20b,4,8548.5
95,100000gpt-neo-20b,5,29
96,100000gpt-neo-20b,6,8896
97,100000gpt-neo-20b,7,29
98,100000gpt-neo-20b,8,134
99,100000gpt-neo-20b,9,64309
100,1000fairseq-13b,0,29
101,1000fairseq-13b,1,29
102,1000fairseq-13b,2,29
103,1000fairseq-13b,3,8
104,1000fairseq-13b,4,29
105,1000fairseq-13b,5,8
106,1000fairseq-13b,6,29
107,1000fairseq-13b,7,8848
108,1000fairseq-13b,8,29
109,1000fairseq-13b,9,29
110,1668fairseq-13b,0,29
111,1668fairseq-13b,1,29
112,1668fairseq-13b,2,29
113,1668fairseq-13b,3,29
114,1668fairseq-13b,4,29
115,1668fairseq-13b,5,29
116,1668fairseq-13b,6,29
117,1668fairseq-13b,7,29
118,1668fairseq-13b,8,29
119,1668fairseq-13b,9,29
120,2782fairseq-13b,0,29
121,2782fairseq-13b,1,29
122,2782fairseq-13b,2,29
123,2782fairseq-13b,3,29
124,2782fairseq-13b,4,29
125,2782fairseq-13b,5,29
126,2782fairseq-13b,6,29
127,2782fairseq-13b,7,29
128,2782fairseq-13b,8,29
129,2782fairseq-13b,9,8
130,4641fairseq-13b,0,29
131,4641fairseq-13b,1,29
132,4641fairseq-13b,2,29
133,4641fairseq-13b,3,29
134,4641fairseq-13b,4,29
135,4641fairseq-13b,5,29
136,4641fairseq-13b,6,29
137,4641fairseq-13b,7,29
138,4641fairseq-13b,8,29
139,4641fairseq-13b,9,8
140,7742fairseq-13b,0,29
141,7742fairseq-13b,1,29
142,7742fairseq-13b,2,8
143,7742fairseq-13b,3,29
144,7742fairseq-13b,4,29
145,7742fairseq-13b,5,29
146,7742fairseq-13b,6,29
147,7742fairseq-13b,7,29
148,7742fairseq-13b,8,29
149,7742fairseq-13b,9,29
150,12915fairseq-13b,0,29
151,12915fairseq-13b,1,29
152,12915fairseq-13b,2,29
153,12915fairseq-13b,3,29000
154,12915fairseq-13b,4,29
155,12915fairseq-13b,5,29
156,12915fairseq-13b,6,29
157,12915fairseq-13b,7,29
158,12915fairseq-13b,8,29
159,12915fairseq-13b,9,8
160,21544fairseq-13b,0,29
161,21544fairseq-13b,1,29
162,21544fairseq-13b,2,29
163,21544fairseq-13b,3,29
164,21544fairseq-13b,4,29
165,21544fairseq-13b,5,29
166,21544fairseq-13b,6,29
167,21544fairseq-13b,7,29
168,21544fairseq-13b,8,29
169,21544fairseq-13b,9,29
170,35938fairseq-13b,0,29
171,35938fairseq-13b,1,29
172,35938fairseq-13b,2,29
173,35938fairseq-13b,3,29
174,35938fairseq-13b,4,29
175,35938fairseq-13b,5,29
176,35938fairseq-13b,6,29
177,35938fairseq-13b,7,29
178,35938fairseq-13b,8,8
179,35938fairseq-13b,9,29
180,59948fairseq-13b,0,29
181,59948fairseq-13b,1,29
182,59948fairseq-13b,2,29
183,59948fairseq-13b,3,29
184,59948fairseq-13b,4,29
185,59948fairseq-13b,5,29
186,59948fairseq-13b,6,29
187,59948fairseq-13b,7,29
188,59948fairseq-13b,8,29
189,59948fairseq-13b,9,29
190,100000fairseq-13b,0,8
191,100000fairseq-13b,1,29
192,100000fairseq-13b,2,8848
193,100000fairseq-13b,3,29
194,100000fairseq-13b,4,29
195,100000fairseq-13b,5,29
196,100000fairseq-13b,6,29
197,100000fairseq-13b,7,8848
198,100000fairseq-13b,8,29
199,100000fairseq-13b,9,29
200,1000convo-6b,0,40.361
201,1000convo-6b,1,10
203,1000convo-6b,3,356767676969
204,1000convo-6b,4,1
205,1000convo-6b,5,2
206,1000convo-6b,6,40
207,1000convo-6b,7,50000
211,1668convo-6b,1,10343.817291
213,1668convo-6b,3,18000
215,1668convo-6b,5,20
216,1668convo-6b,6,6904
217,1668convo-6b,7,969
218,1668convo-6b,8,18
219,1668convo-6b,9,1742
221,2782convo-6b,1,25.4
222,2782convo-6b,2,14.5
223,2782convo-6b,3,12
225,2782convo-6b,5,2213
226,2782convo-6b,6,91452
228,2782convo-6b,8,2
229,2782convo-6b,9,6
230,4641convo-6b,0,0
231,4641convo-6b,1,3121
234,4641convo-6b,4,1000
235,4641convo-6b,5,1
237,4641convo-6b,7,8
239,4641convo-6b,9,0
240,7742convo-6b,0,69
241,7742convo-6b,1,5000
242,7742convo-6b,2,17
243,7742convo-6b,3,7
244,7742convo-6b,4,1548986542100557877693
245,7742convo-6b,5,5.8
247,7742convo-6b,7,90.19
248,7742convo-6b,8,67
250,12915convo-6b,0,15
251,12915convo-6b,1,678.848781555510624
252,12915convo-6b,2,39
253,12915convo-6b,3,1008
254,12915convo-6b,4,40
255,12915convo-6b,5,6192
256,12915convo-6b,6,9940
257,12915convo-6b,7,4090
259,12915convo-6b,9,0.625281
260,21544convo-6b,0,5184
263,21544convo-6b,3,6889.5
264,21544convo-6b,4,697575
265,21544convo-6b,5,158000
266,21544convo-6b,6,0.04
267,21544convo-6b,7,6
268,21544convo-6b,8,321070
269,21544convo-6b,9,182
270,35938convo-6b,0,19.823
271,35938convo-6b,1,488285
272,35938convo-6b,2,20.6938
273,35938convo-6b,3,11779
274,35938convo-6b,4,-705
275,35938convo-6b,5,900000
276,35938convo-6b,6,3621399
277,35938convo-6b,7,6.8623713
278,35938convo-6b,8,10837
279,35938convo-6b,9,12291
280,59948convo-6b,0,6905
281,59948convo-6b,1,-545.1
282,59948convo-6b,2,80105
283,59948convo-6b,3,4862
284,59948convo-6b,4,89786
285,59948convo-6b,5,3
286,59948convo-6b,6,6938.73643220257268
287,59948convo-6b,7,365401
288,59948convo-6b,8,1
289,59948convo-6b,9,0.085245929409524185
291,100000convo-6b,1,2
292,100000convo-6b,2,1.0
293,100000convo-6b,3,100
294,100000convo-6b,4,860000
297,100000convo-6b,7,6473
298,100000convo-6b,8,76320.0
301,1000gpt-j-6b,1,91
302,1000gpt-j-6b,2,8848
303,1000gpt-j-6b,3,8888
304,1000gpt-j-6b,4,8
305,1000gpt-j-6b,5,8848
306,1000gpt-j-6b,6,8848
307,1000gpt-j-6b,7,8
308,1000gpt-j-6b,8,8848
309,1000gpt-j-6b,9,8776
310,1668gpt-j-6b,0,16
311,1668gpt-j-6b,1,8
312,1668gpt-j-6b,2,8848
313,1668gpt-j-6b,3,8848
314,1668gpt-j-6b,4,8848
315,1668gpt-j-6b,5,25198
316,1668gpt-j-6b,6,8848
317,1668gpt-j-6b,7,8848
318,1668gpt-j-6b,8,8848
319,1668gpt-j-6b,9,8
320,2782gpt-j-6b,0,8
321,2782gpt-j-6b,1,8848
322,2782gpt-j-6b,2,8
323,2782gpt-j-6b,3,8
324,2782gpt-j-6b,4,8
325,2782gpt-j-6b,5,8848
326,2782gpt-j-6b,6,29
327,2782gpt-j-6b,7,8848
328,2782gpt-j-6b,8,29200
329,2782gpt-j-6b,9,8848
330,4641gpt-j-6b,0,8929
331,4641gpt-j-6b,1,8848
332,4641gpt-j-6b,2,29
333,4641gpt-j-6b,3,8848
334,4641gpt-j-6b,4,8848
335,4641gpt-j-6b,5,8848
336,4641gpt-j-6b,6,8848
337,4641gpt-j-6b,7,29
338,4641gpt-j-6b,8,8848
339,4641gpt-j-6b,9,8000
340,7742gpt-j-6b,0,8048
341,7742gpt-j-6b,1,8848.03
342,7742gpt-j-6b,2,8848
343,7742gpt-j-6b,3,8848
344,7742gpt-j-6b,4,8
345,7742gpt-j-6b,5,29
346,7742gpt-j-6b,6,8
347,7742gpt-j-6b,7,8848
348,7742gpt-j-6b,8,8848000
349,7742gpt-j-6b,9,8862
350,12915gpt-j-6b,0,8848240
351,12915gpt-j-6b,1,8848
352,12915gpt-j-6b,2,29
353,12915gpt-j-6b,3,8848
354,12915gpt-j-6b,4,8848
355,12915gpt-j-6b,5,8848
356,12915gpt-j-6b,6,29
357,12915gpt-j-6b,7,888899999999999999
358,12915gpt-j-6b,8,29000
359,12915gpt-j-6b,9,2850
360,21544gpt-j-6b,0,8848
361,21544gpt-j-6b,1,88486048
362,21544gpt-j-6b,2,8848
363,21544gpt-j-6b,3,8848
364,21544gpt-j-6b,4,8848
365,21544gpt-j-6b,5,8848
366,21544gpt-j-6b,6,8848
367,21544gpt-j-6b,7,24668
368,21544gpt-j-6b,8,8848
369,21544gpt-j-6b,9,29
370,35938gpt-j-6b,0,884890
371,35938gpt-j-6b,1,88488880.0
372,35938gpt-j-6b,2,8848
373,35938gpt-j-6b,3,8848
374,35938gpt-j-6b,4,88843
375,35938gpt-j-6b,5,8848
376,35938gpt-j-6b,6,8598
377,35938gpt-j-6b,7,8848
378,35938gpt-j-6b,8,59
379,35938gpt-j-6b,9,8
380,59948gpt-j-6b,0,29
381,59948gpt-j-6b,1,884855
382,59948gpt-j-6b,2,8848
383,59948gpt-j-6b,3,8001
384,59948gpt-j-6b,4,8
385,59948gpt-j-6b,5,8848
386,59948gpt-j-6b,6,8848
387,59948gpt-j-6b,7,8848
388,59948gpt-j-6b,8,8848
389,59948gpt-j-6b,9,8
390,100000gpt-j-6b,0,29
391,100000gpt-j-6b,1,8848
392,100000gpt-j-6b,2,8848
393,100000gpt-j-6b,3,884800
394,100000gpt-j-6b,4,8848
395,100000gpt-j-6b,5,29000
396,100000gpt-j-6b,6,2989508
397,100000gpt-j-6b,7,29092
398,100000gpt-j-6b,8,8888
399,100000gpt-j-6b,9,8848.5
